c,t,i,s,t,u,s,d,f,v,n,j,y,o,i,w
z,a,e,c,a,a,g,n,u,j,l,o,c,e,r,f
a,b,d,u,z,g,n,c,b,v,g,u,y,g,h,j
q,g,t,y,i,k,m,n,b,g,f,r,d,c,s,h
i,u,y,t,r,c,d,s,c,b,n,j,m,j,u,i
u,i,o,u,u,a,e,r,e,s,t,u,t,z,v,w
a,e,u,i,o,a,e,u,i,r,t,s,u,o,u,a
i,n,t,e,l,l,i,g,e,n,t,b,e,i,n,g
h,a,m,m,e,r,l,e,s,s,w,a,i,l,e,r
h,s,g,g,b,c,e,y,i,k,r,e,y,i,o,a
a,u,e,c,u,i,g,v,c,x,s,a,a,e,r,y
a,y,e,f,g,v,c,s,e,t,l,s,d,f,h,o
p,o,i,u,y,t,w,r,e,w,x,r,b,t,h,g
i,n,t,e,l,l,i,g,e,n,t,b,e,i,n,g
h,s,g,g,b,c,e,y,i,k,r,e,y,i,o,a
a,b,d,u,z,g,n,c,b,v,g,u,y,g,h,j
q,g,t,y,i,k,m,n,b,g,f,r,d,c,s,h
h,a,m,m,e,r,l,e,s,s,w,a,i,l,e,r
